Ticker,Company,CEO,Year,SEO Pay
FRX,Fennec Pharmaceuticals Inc.,Rostislav Raykov,2019,"$1,477,136"
AMH,American Homes 4 Rent,David Singelyn,2019,"$1,477,075"
GHC,Graham Holdings Company,Timothy O'Shaughnessy,2019,"$1,470,860"
NEXT,NextDecade Corporation,Matthew Schatzman,2019,"$1,470,153"
JNCE,"Jounce Therapeutics, Inc.",Richard Murray,2019,"$1,468,805"
LYTS,LSI Industries Inc.,James Clark,2019,"$1,459,350"
RGCO,"RGC Resources, Inc.",John D'Orazio,2019,"$1,459,285"
ROAD,"Construction Partners, Inc.",Charles Owens,2019,"$1,453,162"
CDTX,"Cidara Therapeutics, Inc.",Jeffrey Stein,2019,"$1,451,969"
VRCA,"Verrica Pharmaceuticals, Inc.",Ted White,2019,"$1,441,189"
MNRO,"Monro, Inc.",Brett Ponton,2019,"$1,440,687"
CNTY,"Century Casinos, Inc.",Peter Hoetzinger,2019,"$1,437,632"
KVHI,"KVH Industries, Inc.",Martin Kits van Heyningen,2019,"$1,437,108"
BCOV,Brightcove Inc.,Hugh Ray III,2019,"$1,435,481"
CRVL,CorVel Corporation,Michael Combs,2020,"$1,432,053"
AROW,Arrow Financial Corporation,Thomas Murphy,2019,"$1,428,711"
PXLW,"Pixelworks, Inc.",Todd DeBonis,2019,"$1,425,000"
PLSE,"Pulse Biosciences, Inc.",Darrin Uecker,2019,"$1,420,301"
HAFC,Hanmi Financial Corporation,Bonita Lee,2019,"$1,419,624"
TDW,"Tidewater, Inc.",Quintin Kneen,2019,"$1,417,904"
HLIO,"Helios Technologies, Inc.",Wolfgang Dangel,2019,"$1,417,426"
NHC,National HealthCare Corporation,Stephen Flatt,2019,"$1,417,124"
GPMT,"Granite Point Mortgage Trust, Inc.",John Taylor,2019,"$1,416,298"
SWI,SolarWinds Corp.,Kevin Thompson,2019,"$1,411,200"
SPKE,"Spark Energy, Inc.",Nathan Kroeker,2019,"$1,409,762"
IIPR,"Innovative Industrial Properties, Inc.",Paul Smithers,2019,"$1,408,557"
CECE,CECO Environmental Corp.,Dennis Sadlowski,2019,"$1,405,870"
OPK,"OPKO Health, Inc.",Phillip Frost,2019,"$1,405,200"
MLP,"Maui Land & Pineapple Company, Inc.",Warren Haruki,2019,"$1,405,091"
CTSO,CytoSorbents Corporation,Phillip Chan,2019,"$1,404,376"
RBBN,"Ribbon Communications, Inc.",Steven Bruny,2019,"$1,403,971"
MESA,"Mesa Air Group, Inc.",Jonathan Ornstein,2019,"$1,400,956"
LPG,Dorian LPG Ltd.,John Hadjipateras,2019,"$1,400,642"
BLPH,"Bellerophon Therapeutics, Inc.",Fabian Tenenbaum,2019,"$1,399,996"
ORGS,Orgenesis Inc.,Vered Caplan,2019,"$1,398,056"
LMAT,"LeMaitre Vascular, Inc.",George LeMaitre,2019,"$1,397,743"
ORRF,"Orrstown Financial Services, Inc.",Thomas Quinn,2019,"$1,392,280"
PRPL,"Purple Innovation, Inc.",Joseph Megibow,2019,"$1,391,549"
MEI,"Methode Electronics, Inc.",Donald Duda,2019,"$1,389,578"
SRPT,"Sarepta Therapeutics, Inc.",Douglas Ingram,2019,"$1,387,072"
